,input_option,history_len,archi,iter_no,loss,accuracy,mean squared error
221,BaseLine,3,,1,0.0,0.977150559425354,0.06317204236984253
222,grades_only,3,gru,1,0.11807520687580109,0.977150559425354,0.014867596328258514
223,ev_nm_20_2_10_0_rnn__3,3,rnn,1,0.1440594643354416,0.9721102118492126,0.01817353628575802
224,ev_nm_20_2_10_0_lstm__3,3,lstm,1,0.1433345377445221,0.9721102118492126,0.01815435104072094
225,ev_nm_20_2_10_0_gru__3,3,gru,1,0.14382900297641754,0.9721102118492126,0.018145853653550148
226,ev_nm_15_2_5_0_rnn__3,3,rnn,1,0.12821921706199646,0.9751344323158264,0.01617666892707348
227,ev_nm_15_2_5_0_lstm__3,3,lstm,1,0.12820611894130707,0.9751344323158264,0.0161757655441761
228,ev_nm_15_2_5_0_gru__3,3,gru,1,0.12737643718719482,0.9751344323158264,0.01615733653306961
229,ev_ex_5_1_5_1_rnn__3,3,rnn,1,0.14212767779827118,0.9714381694793701,0.018521346151828766
230,ev_ex_5_1_5_1_lstm__3,3,lstm,1,0.14713037014007568,0.9714381694793701,0.018605835735797882
231,ev_ex_5_1_5_1_gru__3,3,gru,1,0.14586131274700165,0.9714381694793701,0.018588298931717873
232,ev_ex_30_1_5_0_rnn__3,3,rnn,1,0.13370166718959808,0.9737903475761414,0.017048416659235954
233,ev_ex_30_1_5_0_lstm__3,3,lstm,1,0.13602998852729797,0.9737903475761414,0.017077140510082245
234,ev_ex_30_1_5_0_gru__3,3,gru,1,0.13406985998153687,0.9737903475761414,0.01704256795346737
235,ev_nm_30_1_5_0_rnn__3,3,rnn,1,0.13325940072536469,0.9741263389587402,0.016875214874744415
236,ev_nm_30_1_5_0_lstm__3,3,lstm,1,0.13189420104026794,0.9741263389587402,0.016831420361995697
237,ev_nm_30_1_5_0_gru__3,3,gru,1,0.13262945413589478,0.9741263389587402,0.016838438808918
238,BaseLine,3,,2,0.0,0.9761424660682678,0.06418010592460632
239,grades_only,3,gru,2,0.12406269460916519,0.9761424660682678,0.015520896762609482
240,ev_nm_0_2_5_1_rnn__3,3,rnn,2,0.12557557225227356,0.9761424660682678,0.015580136328935623
241,ev_nm_0_2_5_1_lstm__3,3,lstm,2,0.12564390897750854,0.9761424660682678,0.015582514926791191
242,ev_nm_0_2_5_1_gru__3,3,gru,2,0.1249103769659996,0.9761424660682678,0.015557520091533661
